coat,time,in-vitro,in-vivo
5%,2,0.31,0.003526
5%,2.5,0.41,0.017983
5%,3,0.51,0.067054
5%,4,0.76,0.450705
5% lower,2,0.2,0.004
5% lower,2.5,0.32,0.036
5% lower,3,0.37,0.079
5% lower,4,0.6,0.775
5%upper,2,0.35,0.004
5%upper,2.5,0.55,0.036
5%upper,3,0.62,0.079
5%upper,4,0.8,0.775
